user_id,user_id,user_id,user_id,skill_level
0,0,0,0,orta
1,1,1,1,düşük
2,2,2,2,düşük
3,3,3,3,yüksek
4,4,4,4,orta
5,5,5,5,orta
6,6,6,6,düşük
7,7,7,7,orta
8,8,8,8,orta
9,9,9,9,düşük
10,10,10,10,orta
11,11,11,11,orta
12,12,12,12,orta
13,13,13,13,orta
14,14,14,14,düşük
15,15,15,15,yüksek
16,16,16,16,orta
17,17,17,17,orta
18,18,18,18,orta
19,19,19,19,düşük
20,20,20,20,düşük
21,21,21,21,orta
22,22,22,22,düşük
23,23,23,23,yüksek
24,24,24,24,orta
25,25,25,25,yüksek
26,26,26,26,düşük
27,27,27,27,orta
28,28,28,28,orta
29,29,29,29,düşük
30,30,30,30,yüksek
31,31,31,31,yüksek
32,32,32,32,orta
33,33,33,33,düşük
34,34,34,34,düşük
35,35,35,35,orta
36,36,36,36,yüksek
37,37,37,37,orta
38,38,38,38,yüksek
39,39,39,39,orta
40,40,40,40,orta
41,41,41,41,yüksek
42,42,42,42,orta
43,43,43,43,yüksek
44,44,44,44,yüksek
45,45,45,45,yüksek
46,46,46,46,orta
47,47,47,47,düşük
48,48,48,48,orta
49,49,49,49,orta
50,50,50,50,düşük
51,51,51,51,orta
52,52,52,52,yüksek
53,53,53,53,orta
54,54,54,54,düşük
55,55,55,55,orta
56,56,56,56,orta
57,57,57,57,orta
58,58,58,58,orta
59,59,59,59,orta
60,60,60,60,yüksek
61,61,61,61,yüksek
62,62,62,62,yüksek
63,63,63,63,orta
64,64,64,64,orta
65,65,65,65,yüksek
66,66,66,66,düşük
67,67,67,67,yüksek
68,68,68,68,orta
69,69,69,69,orta
70,70,70,70,orta
71,71,71,71,düşük
72,72,72,72,orta
73,73,73,73,düşük
74,74,74,74,orta
75,75,75,75,düşük
76,76,76,76,orta
77,77,77,77,yüksek
78,78,78,78,orta
79,79,79,79,orta
80,80,80,80,düşük
81,81,81,81,yüksek
82,82,82,82,orta
83,83,83,83,düşük
84,84,84,84,orta
85,85,85,85,orta
86,86,86,86,orta
87,87,87,87,düşük
88,88,88,88,orta
89,89,89,89,orta
90,90,90,90,orta
91,91,91,91,orta
92,92,92,92,orta
93,93,93,93,yüksek
94,94,94,94,yüksek
95,95,95,95,düşük
96,96,96,96,düşük
97,97,97,97,orta
98,98,98,98,yüksek
99,99,99,99,yüksek
100,100,100,100,orta
101,101,101,101,orta
102,102,102,102,düşük
103,103,103,103,yüksek
104,104,104,104,yüksek
105,105,105,105,orta
106,106,106,106,düşük
107,107,107,107,orta
108,108,108,108,orta
109,109,109,109,orta
110,110,110,110,orta
111,111,111,111,yüksek
112,112,112,112,orta
113,113,113,113,yüksek
114,114,114,114,yüksek
115,115,115,115,yüksek
116,116,116,116,yüksek
117,117,117,117,düşük
118,118,118,118,düşük
119,119,119,119,yüksek
120,120,120,120,orta
121,121,121,121,orta
122,122,122,122,yüksek
123,123,123,123,düşük
124,124,124,124,düşük
125,125,125,125,orta
126,126,126,126,yüksek
127,127,127,127,düşük
128,128,128,128,düşük
129,129,129,129,düşük
130,130,130,130,düşük
131,131,131,131,düşük
132,132,132,132,yüksek
133,133,133,133,yüksek
134,134,134,134,düşük
135,135,135,135,orta
136,136,136,136,orta
137,137,137,137,orta
138,138,138,138,yüksek
139,139,139,139,orta
140,140,140,140,orta
141,141,141,141,yüksek
142,142,142,142,orta
143,143,143,143,orta
144,144,144,144,düşük
145,145,145,145,düşük
146,146,146,146,orta
147,147,147,147,düşük
148,148,148,148,düşük
149,149,149,149,orta
150,150,150,150,orta
151,151,151,151,düşük
152,152,152,152,yüksek
153,153,153,153,düşük
154,154,154,154,orta
155,155,155,155,orta
156,156,156,156,orta
157,157,157,157,orta
158,158,158,158,düşük
159,159,159,159,düşük
160,160,160,160,orta
161,161,161,161,düşük
162,162,162,162,orta
163,163,163,163,yüksek
164,164,164,164,düşük
165,165,165,165,orta
166,166,166,166,düşük
167,167,167,167,düşük
168,168,168,168,yüksek
169,169,169,169,düşük
170,170,170,170,orta
171,171,171,171,orta
172,172,172,172,orta
173,173,173,173,düşük
174,174,174,174,yüksek
175,175,175,175,düşük
176,176,176,176,düşük
177,177,177,177,orta
178,178,178,178,orta
179,179,179,179,düşük
180,180,180,180,düşük
181,181,181,181,orta
182,182,182,182,orta
183,183,183,183,düşük
184,184,184,184,orta
185,185,185,185,orta
186,186,186,186,düşük
187,187,187,187,düşük
188,188,188,188,düşük
189,189,189,189,orta
190,190,190,190,orta
191,191,191,191,yüksek
192,192,192,192,orta
193,193,193,193,orta
194,194,194,194,yüksek
195,195,195,195,düşük
196,196,196,196,orta
197,197,197,197,orta
198,198,198,198,orta
199,199,199,199,düşük
200,200,200,200,yüksek
201,201,201,201,düşük
202,202,202,202,düşük
203,203,203,203,orta
204,204,204,204,düşük
205,205,205,205,orta
206,206,206,206,düşük
207,207,207,207,orta
208,208,208,208,yüksek
209,209,209,209,orta
210,210,210,210,orta
211,211,211,211,orta
212,212,212,212,orta
213,213,213,213,düşük
214,214,214,214,yüksek
215,215,215,215,orta
216,216,216,216,yüksek
217,217,217,217,orta
218,218,218,218,yüksek
219,219,219,219,düşük
220,220,220,220,orta
221,221,221,221,düşük
222,222,222,222,orta
223,223,223,223,düşük
224,224,224,224,orta
225,225,225,225,düşük
226,226,226,226,orta
227,227,227,227,düşük
228,228,228,228,düşük
229,229,229,229,düşük
230,230,230,230,yüksek
231,231,231,231,düşük
232,232,232,232,düşük
233,233,233,233,orta
234,234,234,234,orta
235,235,235,235,düşük
236,236,236,236,düşük
237,237,237,237,orta
238,238,238,238,düşük
239,239,239,239,orta
240,240,240,240,orta
241,241,241,241,düşük
242,242,242,242,düşük
243,243,243,243,yüksek
244,244,244,244,orta
245,245,245,245,düşük
246,246,246,246,orta
247,247,247,247,orta
248,248,248,248,orta
249,249,249,249,yüksek
250,250,250,250,orta
251,251,251,251,orta
252,252,252,252,düşük
253,253,253,253,düşük
254,254,254,254,orta
255,255,255,255,düşük
256,256,256,256,orta
257,257,257,257,yüksek
258,258,258,258,orta
259,259,259,259,orta
260,260,260,260,yüksek
261,261,261,261,düşük
262,262,262,262,düşük
263,263,263,263,düşük
264,264,264,264,düşük
265,265,265,265,düşük
266,266,266,266,yüksek
267,267,267,267,yüksek
268,268,268,268,düşük
269,269,269,269,orta
270,270,270,270,orta
271,271,271,271,orta
272,272,272,272,düşük
273,273,273,273,düşük
274,274,274,274,yüksek
275,275,275,275,orta
276,276,276,276,düşük
